course,tee_scenario,orders,variant,runners,runs,on_time_mean,on_time_wilson_lo,on_time_wilson_hi,failed_mean,p90_mean,avg_delivery_time_mean,oph_mean,total_successful_orders,total_orders,group_dir
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,none,1,10,0.6510526315789473,0.9642775148038205,0.9972533993962251,0.005,45.83038841568351,25.52542372286805,2.8329683439638256,198,200,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\first_pass\orders_020\runners_1\none
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,none,2,20,0.9800000000000001,0.9904873594003194,1.0,0.0,21.058945929789296,15.355938881932556,2.8295502306708773,400,400,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\second_pass\orders_020\runners_2\none
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,none,3,20,1.0,0.9904873594003194,1.0,0.0,16.786466537103884,13.7709670798465,2.8284816290525603,400,400,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\second_pass\orders_020\runners_3\none
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,front,1,20,0.7103665720674235,0.8978168807373349,0.9490498115499382,0.05750000000000001,43.97022497318086,25.64860047547491,2.615177619953765,371,400,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\second_pass\orders_020\runners_1\front
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,front,2,20,0.9800000000000001,0.9904873594003194,1.0,0.0,20.332752877794114,14.988964628694225,2.8328305658979067,400,400,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\second_pass\orders_020\runners_2\front
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,front,3,20,1.0,0.9904873594003194,1.0,0.0,16.384542714089857,13.656354016076985,2.82889558793707,400,400,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\second_pass\orders_020\runners_3\front
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,mid,1,10,0.8328947368421054,0.9642775148038205,0.9972533993962251,0.0,35.225321013293495,20.006203548427006,2.7853327255820206,198,200,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\first_pass\orders_020\runners_1\mid
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,mid,2,20,0.9875,0.9904873594003194,1.0,0.0,19.507241129612378,14.47936821326933,2.8396772871105385,400,400,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\second_pass\orders_020\runners_2\mid
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,mid,3,20,0.9974999999999999,0.9904873594003194,1.0,0.0,16.706024047040113,13.699346829021362,2.8418328504035286,400,400,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\second_pass\orders_020\runners_3\mid
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,back,1,20,0.6134171826625388,0.9151985747985072,0.9613827382707755,0.052500000000000005,48.171215517976684,28.492884692995318,2.6456938735345097,377,400,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\second_pass\orders_020\runners_1\back
C:\Main\GIT\simulation\courses\keswick_hall,real_tee_sheet,20,back,2,20,0.9875,0.9904873594003194,1.0,0.0,20.735599005632118,14.875536847791741,2.7982377230326856,400,400,C:\Main\GIT\simulation\output\keswick_hall\20250828_090448_real_tee_sheet\second_pass\orders_020\runners_2\back
