order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,11:00:07,14,,10.05,7.0710157682396435,10.642444339668215,16,156,188,188
002,11:01:39,14,,29.183333333333334,3.9745425574568194,6.3554949384092,17,156,205,205
003,11:14:10,16,,33.083333333333336,0.33633584503792613,1.5268120355141166,18,180,225,226
004,11:42:28,2,,16.366666666666667,10.571766017817996,16.52414697019895,-1,12,60,60
005,12:15:42,7,,10.05,3.6024713571901885,14.316757071475903,8,72,98,98
006,12:26:02,17,,24.05,0.33633584503792613,1.5268120355141166,18,192,225,241
007,12:26:34,2,,35.1,7.809760903020833,16.143094236354166,6,12,75,75
008,12:35:03,15,,52.78333333333333,0.33633584503792613,1.5268120355141166,18,168,225,229
009,13:01:09,7,,38.266666666666666,3.2106690687643398,12.734478592573863,11,72,126,126
010,13:24:50,9,,37.333333333333336,6.764845211615405,13.90770235447255,13,96,152,152
011,13:37:35,13,,48.5,3.2376258860961875,5.618578267048568,17,144,209,209
012,13:57:21,15,,44.4,0.8489870480764391,2.0394632385526297,18,168,222,222
013,14:00:11,10,,53.65,8.546753559918095,16.880086893251427,6,108,71,71
014,14:21:51,13,,58.9,0.33633584503792613,1.5268120355141166,18,144,225,225
015,15:28:53,15,,10.033333333333333,6.001197376161084,8.382149757113465,17,168,194,194
016,16:25:23,17,,10.033333333333333,1.4000044573035362,2.590480647779727,18,192,219,219
017,16:31:45,14,,16.333333333333332,6.337595328099754,8.718547709052135,17,156,192,192
018,17:20:17,1,,10.05,2.5770494771573187,4.9580018581097,1,0,14,14
019,17:22:40,15,,22.666666666666668,3.053330129332365,5.4342825102847465,17,168,210,210
020,17:35:05,17,,25.75,0.33633584503792613,1.5268120355141166,18,192,225,232
