order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,15561,16161,16165,16790.469382881976,17147.612240024835
002,15962,16562,17750,17967.540191380685,18538.968762809258
003,16296,16896,19140,19301.269675713756,19372.69824714233
005,18118,18718,20575,21054.643401941696,21554.643401941696
006,19177,19777,22155,22175.180150702276,22246.608722130848
007,21344,21944,22850,22870.180150702276,22941.608722130848
008,21440,22040,23545,23638.63742399374,24281.49456685088
009,22552,23152,24885,24905.180150702276,24976.608722130848
010,23948,24548,25580,25708.096468567634,25779.525039996206
011,24678,25278,26380,26400.180150702276,26471.608722130848
012,25153,25753,27075,27095.180150702276,27166.608722130848
013,25635,26235,27770,28304.92070942701,28804.92070942701
014,26476,27076,29405,29522.038701916204,29593.467273344777
015,28860,29460,30195,30820.469382881976,31177.612240024835
016,33696,34296,34300,34746.376440829496,34960.66215511521
017,34862,35462,35565,35902.956357000316,36045.81349985746
018,38389,38989,38990,39431.152509903884,39716.86679561817
