order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14476,15076,15080,15493.203200093036,15707.48891437875
002,15911,16511,16515,16632.038701916204,16703.467273344777
003,17572,18172,18175,18259.00026743821,18330.42883886678
004,17667,18267,18270,18675.890712696924,19104.462141268352
005,17930,18530,18935,19052.038701916204,19123.467273344777
006,18736,19336,19705,19914.900528832448,20129.18624311816
007,19058,19658,19725,20067.590953857874,20281.876668143588
008,19444,20044,20730,20946.365629720254,21089.222772577396
009,20353,20953,20955,21330.74104582998,21616.455331544264
010,21022,21622,21690,22009.34742739807,22509.34742739807
011,21110,21710,22220,22539.34742739807,23039.34742739807
012,21310,21910,23110,23370.58804656559,23513.44518942273
013,21684,22284,23640,23900.58804656559,24043.44518942273
014,22300,22900,24115,24489.98584673405,24847.128703876908
015,23355,23955,24645,24863.654254133202,25435.082825561774
016,23642,24242,25450,26095.357720951506,26452.500578094365
017,24303,24903,26040,26210.87146161127,26853.72860446841
018,25992,26592,27055,27075.180150702276,27146.608722130848
019,26418,27018,27455,27715.58804656559,27858.44518942273
020,27638,28238,28240,28549.41771194766,28763.703426233373
021,29120,29720,29720,30236.2478712271,30593.39072836996
022,31316,31916,31920,32328.602319678674,32614.31660539296
023,32700,33300,33300,33892.296129602495,34249.43898674535
024,33554,34154,34155,34287.60274627095,35001.88846055667
025,34786,35386,35390,35584.25755316577,35727.114696022916
026,37352,37952,37955,38296.3447606055,38796.3447606055
027,38473,39073,39075,39095.180150702276,39166.60872213085
028,38641,39241,39400,39649.530297145306,39792.38744000245
029,39197,39797,39800,40149.014100781715,40291.87124363886
