order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14818,15418,15420,15883.891054503227,16169.605340217513
002,14982,15582,15585,16053.39607928773,16481.967507859157
003,15825,16425,16770,17150.255719685985,17293.112862543127
004,17638,18238,18240,18615.74104582998,18901.455331544264
005,17957,18557,18560,18911.566557411872,19411.566557411872
006,18476,19076,19505,19831.898611225024,19974.755754082165
007,18527,19127,20015,20232.540207388465,20732.540207388465
008,20077,20677,20680,21087.72200729707,21444.86486443993
009,20121,20721,21335,21809.325722640842,22095.04000835513
010,20177,20777,22045,22659.411646904235,23016.554504047093
011,20941,21541,22700,23268.093953225627,23768.093953225627
012,21473,22073,23620,23969.014100781715,24111.871243638856
013,21704,22304,24370,24800.09476087544,25085.809046589726
014,22177,22777,24715,25216.74746568973,25716.74746568973
015,22191,22791,25690,25884.25755316577,26027.114696022913
018,25389,25989,26920,27360.576207777147,27717.719064920006
019,26014,26614,27230,27435.307881554792,27578.165024411934
020,28511,29111,29115,29353.22646649967,29996.08360935681
021,29413,30013,30015,30461.376440829496,30675.66215511521
022,31167,31767,31770,32384.411646904235,32741.554504047093
023,33599,34199,34200,34250.93922288459,34322.36779431316
024,34222,34822,34825,35184.36954294749,35827.226685804635
025,35598,36198,36200,36768.09395322562,37268.09395322562
026,36206,36806,36810,36830.180150702276,36901.60872213085
027,36820,37420,37505,37786.965312664295,38429.82245552144
028,39318,39918,39920,40081.26967571376,40152.69824714233
029,39394,39994,39995,40160.680722458135,40303.53786531528
