order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,15133,15733,15735,15894.813717565228,16537.67086042237
002,15752,16352,16355,16648.02303367704,17290.88017653418
003,16048,16648,16650,16782.62557554121,16925.48271839835
004,16429,17029,17140,17255.75289673891,17898.610039596053
006,17265,17865,17895,18193.359994897375,18407.64570918309
005,17151,17751,17755,18239.894102816135,18525.60838853042
007,17359,17959,18500,18716.14828143141,19359.005424288553
008,18055,18655,19010,19644.30596106908,20001.44881821194
009,19098,19698,19700,19850.211955466268,19921.64052689484
010,19171,19771,19960,20465.190142814834,20822.332999957693
011,20210,20810,20810,21030.958234517824,21245.243948803538
012,20230,20830,20830,21276.376440829496,21490.66215511521
013,20993,21593,21595,21615.180150702276,21686.608722130848
014,21049,21649,21850,22131.965312664295,22774.822455521436
015,21155,21755,22095,22312.540191380685,22883.968762809258
016,21356,21956,22290,22506.365629720254,22649.222772577396
019,22528,23128,23485,23505.180150702276,23576.608722130848
017,21774,22374,23250,23642.523107031288,24213.95167845986
018,22099,22699,23375,23756.465357055684,24113.608214198543
020,22847,23447,24180,24676.907274084188,25034.050131227046
021,23396,23996,24715,24898.199807759942,25041.056950617083
022,23838,24438,24815,25228.203200093034,25442.488914378748
023,24553,25153,25635,25830.066674839454,26544.352389125168
024,25632,26232,26235,26671.749442271714,27243.178013700286
025,27521,28121,28125,28197.942521005134,28269.371092433707
026,27536,28136,28140,28548.602319678674,28834.31660539296
027,28362,28962,28965,29197.015954476887,29411.3016687626
028,29783,30383,30385,30842.676484757176,31342.676484757176
030,31029,31629,31630,31740.51154054568,32454.797254831396
029,31016,31616,31620,32083.891054503227,32369.605340217513
031,32679,33279,33280,33754.94880236058,34040.66308807486
032,34474,35074,35075,35324.530297145306,35467.38744000245
033,34917,35517,35520,35635.752896738915,36278.61003959606
034,35074,35674,35675,35913.472553447406,36056.32969630455
035,36059,36659,36660,36909.530297145306,37052.38744000245
037,36303,36903,36905,36925.180150702276,36996.60872213085
036,36127,36727,36730,37045.138501873254,37687.9956447304
038,36441,37041,37600,37860.341958375415,38503.19910123256
039,36938,37538,37655,37883.30408655556,38454.73265798413
040,37298,37898,38290,38539.530297145306,38682.38744000245
