order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,11:02:03,9,,10.033333333333333,2.294970310307296,13.009256024593011,10,96,121,121
002,11:11:21,11,,10.066666666666666,6.396254065076513,13.539111207933656,13,120,150,150
003,11:13:22,1,,10.05,7.178630261383538,11.940535023288302,3,0,39,39
004,11:17:08,17,,18.033333333333335,0.8489870480764391,2.0394632385526297,18,192,222,223
005,11:17:49,9,,27.183333333333334,6.396254065076513,13.539111207933656,13,96,150,150
006,11:31:29,6,,13.933333333333334,5.620900082723225,16.33518579700894,8,60,87,87
007,11:38:04,13,,10.016666666666667,8.265864224069082,13.027768985973845,15,144,179,179
008,12:12:38,17,,10.033333333333333,0.8489870480764391,2.0394632385526297,18,192,222,222
009,12:14:16,17,,10.066666666666666,0.6646912493353738,1.8551674398115643,18,192,223,223
010,12:16:18,2,,10.033333333333333,10.571766017817996,16.52414697019895,-1,12,60,60
011,12:19:01,8,,15.733333333333333,2.84785769352117,13.562143407806884,10,84,124,124
012,12:20:10,16,,16.083333333333332,2.5035325911044612,3.694008781580652,18,180,213,213
013,12:31:33,10,,18.45,6.764845211615405,13.90770235447255,13,108,152,152
014,12:32:23,12,,20.533333333333335,7.352541831731347,12.11444659363611,15,132,174,174
015,12:39:37,11,,18.716666666666665,7.527232719367203,13.479613671748155,14,120,161,161
016,12:50:13,3,,23.7,7.279157371195227,16.80296689500475,7,24,78,78
017,13:14:03,3,,10.033333333333333,9.836793159114617,18.17012649244795,6,24,64,63
018,13:15:05,12,,10.0,6.434059910967153,11.195964672871916,15,132,169,169
019,13:42:02,13,,10.05,8.450160029882317,13.21206479178708,15,144,180,180
020,13:42:40,9,,10.0,3.625669856344757,13.14947938015428,11,96,131,131
021,13:43:29,4,,10.016666666666667,8.178352499955933,16.511685833289267,6,36,73,73
022,13:54:01,10,,21.316666666666666,5.8594426235312005,14.192775956864534,12,108,147,147
023,13:57:50,12,,18.0,7.721133179782433,12.483037941687197,15,132,176,176
024,14:14:07,3,,10.05,10.387470156406136,16.33985110878709,-1,24,61,61
025,14:14:44,14,,23.6,5.63260595000526,8.013558330957641,17,156,196,196
026,14:55:21,2,,10.066666666666666,8.419835713580566,14.372216665961519,4,12,46,46
027,14:57:25,18,,10.0,0.33633584503792613,1.5268120355141166,18,204,225,229
028,15:09:15,4,,10.0,7.463453353689935,16.987262877499457,7,36,77,77
029,15:34:03,13,,10.033333333333333,7.352541831731347,12.11444659363611,15,144,174,174
030,15:40:03,17,,10.033333333333333,0.33633584503792613,1.5268120355141166,18,192,225,227
031,16:14:17,6,,10.05,4.339032639590247,15.053318353875962,8,60,94,94
032,16:28:42,6,,10.05,4.883717227950668,15.598002942236382,8,60,91,91
033,16:33:59,8,,10.016666666666667,1.2920748580003418,12.006360572286058,10,84,111,111
034,16:51:16,4,,10.066666666666666,8.362457761495413,16.695791094828746,6,36,72,72
035,17:08:30,10,,10.0,4.4050605541585055,12.738393887491839,12,108,139,139
036,17:09:29,10,,10.016666666666667,4.2355239536225175,7.80695252505109,2,108,23,23
037,17:12:15,13,,15.833333333333334,8.450160029882317,13.21206479178708,15,144,180,180
038,17:13:27,15,,23.883333333333333,2.8690342924356327,4.059510482911823,18,168,211,211
039,17:18:07,14,,23.133333333333333,5.079718561544966,7.460670942497347,17,156,199,199
040,17:26:32,17,,24.8,0.33633584503792613,1.5268120355141166,18,192,225,231
