order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14501,15101,15105,15573.39607928773,16001.967507859159
002,14720,15320,15320,15601.965312664297,16244.82245552144
003,14721,15321,15325,15776.633963162032,16133.776820304889
004,16019,16619,16620,17016.664258608824,17373.807115751682
005,16182,16782,16785,17100.138501873254,17742.995644730396
006,16568,17168,17170,17296.810610898527,17939.667753755668
007,17035,17635,17975,18405.09476087544,18690.809046589726
008,17237,17837,18345,18752.979245643342,19038.69353135763
009,17474,18074,18540,18992.210253207835,19277.92453892212
010,18621,19221,19295,19730.318693006684,19944.604407292398
011,19343,19943,19945,20242.23192144463,20742.23192144463
012,19533,20133,20135,20526.313469586483,20669.170612443624
013,19734,20334,20545,20640.05800488076,20711.486576309333
015,20528,21128,21315,21520.307881554792,21663.165024411934
014,20075,20675,21270,21640.407611237337,22283.264754094478
016,20559,21159,21345,21714.197984498693,21857.055127355834
017,20563,21163,22265,22435.87146161127,23078.72860446841
018,20722,21322,22460,22846.04359466246,23203.18645180532
019,21103,21703,22885,23178.725361935692,23321.582504792834
020,21263,21863,23680,23700.180150702276,23771.608722130848
021,21662,22262,23805,23948.66047265565,24662.946186941364
022,21705,22305,23925,24229.783113692698,24372.64025654984
023,22485,23085,24375,24679.080763413487,25321.93790627063
024,23145,23745,24975,25195.072641434617,25695.072641434617
025,23971,24571,25265,25493.304086555563,26064.732657984136
026,24304,24904,25925,25991.466744101574,26634.323886958715
027,24612,25212,26300,26399.453798151266,27113.73951243698
028,24825,25425,26665,26881.365629720254,27024.222772577396
029,24976,25576,27235,27255.180150702276,27326.608722130848
030,25449,26049,27625,27940.840863455815,28083.698006312956
031,25692,26292,27715,28183.491939208878,28397.77765349459
033,28179,28779,28780,29000.072641434617,29500.072641434617
032,28086,28686,28690,29005.840863455815,29148.698006312956
034,28637,29237,29240,29679.06159157251,30107.633020143938
035,29543,30143,30145,30482.254004963394,31125.111147820535
036,30223,30823,30825,30975.211955466268,31046.64052689484
037,32214,32814,32815,33201.04359465803,33486.757880372315
038,33605,34205,34205,34425.07264143461,34925.07264143461
040,34627,35227,35230,35458.450192714285,35958.450192714285
039,34415,35015,35015,35522.00960179294,35807.72388750722
041,35850,36450,36450,36532.57966540887,37175.436808266015
042,35870,36470,36470,36741.399725146024,37384.25686800317
043,36213,36813,36815,37031.148281431415,37674.00542428856
044,37357,37957,37960,38340.255719685985,38483.11286254313
045,37675,38275,38275,38352.52449148002,38995.381634337165
046,38186,38786,38790,39230.57620777715,39587.719064920006
047,38264,38864,39085,39465.255719685985,39608.11286254313
048,38577,39177,39600,40007.72200729707,40364.86486443992
049,38811,39411,40190,40586.66425860883,40943.80711575168
