order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
002,14578,15178,15180,15484.080763413485,16126.937906270628
001,14507,15107,15110,15551.15250990388,15836.866795618167
003,15000,15600,15600,16179.149844419793,16679.149844419793
004,15586,16186,16440,16864.26094609438,17078.546660380092
005,15693,16293,16730,17298.093953225627,17798.093953225627
006,16044,16644,17280,17649.197984498693,17792.055127355834
007,16185,16785,17680,17764.00026743821,17835.42883886678
008,16386,16986,18395,18787.523107031288,19358.95167845986
009,16483,17083,18400,18828.00624201825,19256.57767058968
010,18076,18676,18680,19060.255719685985,19203.112862543127
011,18152,18752,19805,19825.180150702276,19896.608722130848
012,18408,19008,19860,20036.833714691948,20751.11942897766
013,19238,19838,19960,20286.898611225024,20429.755754082165
014,19363,19963,20500,20749.530297145306,20892.387440002447
015,19535,20135,21030,21050.180150702276,21121.608722130848
016,20512,21112,21355,21472.038701916204,21543.467273344777
017,20565,21165,21495,21667.142057546138,21738.57062897471
018,20639,21239,21725,21785.464103814622,22428.321246671763
019,20867,21467,22145,22383.22646649967,23026.08360935681
020,21164,21764,22340,22390.939222884586,22462.36779431316
022,22167,22767,23065,23160.05800488076,23231.486576309333
021,21639,22239,23030,23465.318693006684,23679.604407292398
023,23475,24075,24075,24095.180150702276,24166.608722130848
024,23808,24408,24410,24542.60274627095,25256.888460556664
025,23872,24472,24475,25020.97845735301,25520.97845735301
026,24128,24728,24770,25270.467094138156,25556.18137985244
027,24319,24919,25860,26032.142057546138,26103.57062897471
028,24849,25449,26125,26317.64014412586,26889.068715554433
029,25004,25604,26160,26453.725361935692,26596.582504792834
030,26485,27085,27085,27477.523107031288,28048.95167845986
031,27028,27628,27630,27773.66047265565,28487.946186941364
032,27374,27974,27975,28324.014100781715,28466.871243638856
033,27473,28073,28650,28798.755969900856,29441.613112757997
034,28268,28868,29070,29407.254004963394,30050.111147820535
035,31288,31888,31890,32038.755969900856,32681.613112757997
036,31378,31978,31980,32421.15250990388,32706.866795618167
037,31885,32485,32485,32546.88476558107,32618.313337009644
038,32721,33321,33325,33508.19980775994,33651.05695061709
041,33657,34257,34260,34456.53875825241,35027.967329680985
039,33484,34084,34085,34515.094760875436,34800.80904658972
040,33588,34188,34190,34813.248209384365,35170.39106652722
042,34817,35417,35420,35866.376440829496,36080.66215511521
043,36161,36761,36765,36837.942521005134,36909.37109243371
044,36605,37205,37205,37225.180150702276,37296.60872213085
046,36915,37515,37515,37796.965312664295,38439.82245552144
045,36843,37443,37445,37897.210253207835,38182.92453892212
047,38234,38834,38835,39248.203200093034,39462.48891437875
049,38637,39237,39240,39339.45379815126,40053.73951243698
048,38479,39079,39080,39532.210253207835,39817.92453892212
050,38815,39415,40065,40085.180150702276,40156.60872213085
