order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14528,15128,15130,15284.718209520657,15999.003923806371
002,14549,15149,15150,15377.168741394622,16020.025884251765
003,14587,15187,15190,15658.491939208878,15872.777653494592
005,16018,16618,16620,16651.2379479783,16722.666519406874
004,15528,16128,16475,16936.177092111848,17364.748520683275
006,16235,16835,16835,17275.576207777147,17632.719064920006
007,16275,16875,17325,17618.725361935692,17761.582504792834
008,16777,17377,17965,18302.956357000316,18445.813499857457
009,17594,18194,18235,18681.376440829496,18895.66215511521
010,18909,19509,19510,19737.168741394624,20380.025884251765
011,19126,19726,19730,20176.376440829496,20390.66215511521
012,19502,20102,20105,20435.287017632967,20935.287017632967
013,19999,20599,20985,21080.05800488076,21151.486576309333
014,20092,20692,20995,21435.576207777147,21792.719064920006
015,20110,20710,21540,21560.180150702276,21631.608722130848
016,20111,20711,21755,21815.464103814622,22458.321246671763
017,20342,20942,22235,22385.211955466268,22456.64052689484
018,20429,21029,22395,22415.180150702276,22486.608722130848
019,20484,21084,23060,23165.980919797265,23237.409491225837
020,21355,21955,23060,23434.98584673405,23792.128703876908
021,21912,22512,23090,23525.318693006684,23739.604407292398
022,22882,23482,23840,24155.840863455815,24298.698006312956
023,23561,24161,24340,24483.66047265565,25197.946186941364
024,23694,24294,24395,24545.211955466268,24616.64052689484
026,24619,25219,25220,25240.180150702276,25311.608722130848
025,24034,24634,24900,25302.37123419966,25516.656948485375
028,25132,25732,25915,25981.466744101574,26624.323886958715
027,25059,25659,25800,26149.014100781715,26291.871243638856
029,25177,25777,26120,26471.566557411872,26971.566557411872
030,25255,25855,26895,27346.633963162032,27703.77682030489
031,25739,26339,27225,27576.566557411872,28076.566557411872
032,26845,27445,27575,28065.453045290906,28351.167331005192
033,28039,28639,28640,28966.898611225024,29109.755754082165
034,28344,28944,28945,29139.25755316577,29282.114696022913
035,28873,29473,29475,29568.63742399374,30211.49456685088
036,30210,30810,30810,31027.540207388465,31527.540207388465
037,30725,31325,31325,31563.22646649967,32206.08360935681
038,32698,33298,33300,33762.691733362095,34119.83459050495
039,32733,33333,33335,33830.951853444145,34116.66613915843
040,33924,34524,34525,34763.22646649967,35406.083609356814
041,34936,35536,35540,35964.26094609438,36178.546660380096
042,35324,35924,35925,36294.19798449869,36437.05512735584
043,36682,37282,37285,37305.180150702276,37376.60872213085
045,36944,37544,37545,37576.237947978305,37647.66651940688
044,36873,37473,37475,37596.56928979139,38310.85500407711
047,37270,37870,38250,38270.180150702276,38341.60872213085
046,37250,37850,37980,38448.49193920888,38662.777653494595
050,39088,39688,39690,39710.180150702276,39781.60872213085
048,38684,39284,39285,39720.31869300669,39934.604407292405
049,38907,39507,39510,39737.414815471864,39880.27195832901
