order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14896,15496,15500,15838.76356613986,16410.192137568432
002,15733,16333,16335,16673.587539318498,17102.158967889925
003,16816,17416,17420,17643.09921485499,18285.95635771213
004,17049,17649,17705,18455.942233534464,18884.513662105892
005,20131,20731,20735,21371.75462853546,21728.897485678317
006,20534,21134,21135,21918.068604468852,22132.354318754566
007,20978,21578,22330,22351.86381039369,22709.00666753655
008,21581,22181,22735,22900.683425872798,22972.11199730137
009,22388,22988,23310,23506.6454949153,23792.359780629587
010,22510,23110,23575,23891.622961374134,24248.765818516993
011,23033,23633,24395,24416.86381039369,24774.00666753655
012,23555,24155,24850,24964.105574431636,25678.39128871735
013,25630,26230,26230,26378.190283300013,27092.475997585727
014,27066,27666,27670,28441.647903788697,28655.93361807441
015,30298,30898,30900,31616.68022697137,32045.251655542797
016,34020,34620,34620,34802.452293387876,35516.73800767359
017,35706,36306,36310,36591.93332385419,36949.07618099704
018,37706,38306,38310,38438.216646043125,38723.93093175741
019,37860,38460,38460,38732.12943134564,39089.27228848849
020,38096,38696,39325,39346.86381039369,39704.006667536545
