order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14524,15124,15125,15429.501564858496,16000.930136287066
003,16788,17388,17390,17487.890567857674,17559.319139286246
002,16479,17079,17080,17530.31389914081,18030.31389914081
004,17286,17886,18160,18614.30147180224,19114.30147180224
005,18037,18637,18640,19155.523834034524,19655.523834034524
006,19962,20562,20565,20693.216646043125,20978.93093175741
007,20662,21262,21265,21370.779615596177,21585.06532988189
008,21461,22061,22065,22292.346854152896,22863.77542558147
010,23003,23603,23605,23626.86381039369,23984.00666753655
009,22899,23499,23500,23686.073295205242,24328.930438062383
011,24226,24826,24830,25023.872962143338,25738.15867642905
012,24441,25041,25045,25256.67854364321,25899.535686500352
014,27356,27956,27960,28056.4008943908,28699.258037247942
013,26958,27558,27560,28288.100898419,28716.67232699043
015,30253,30853,30855,31324.910401785306,31824.910401785306
016,32942,33542,33545,33566.86381039369,33924.006667536545
017,34451,35051,35055,35527.2880036165,36027.2880036165
018,36884,37484,37485,37627.84209312056,37699.270664549134
019,38557,39157,39160,39277.20028535656,39491.485999642275
020,39183,39783,39785,39814.40946560554,40171.55232274839
