order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,15277,15877,15880,16207.166880967243,16635.738309538672
002,15919,16519,16520,16902.814266513884,17331.38569508531
003,17577,18177,18180,18379.945435588183,18451.374007016755
004,17780,18380,18380,18510.66295064635,19153.52009350349
005,18698,19298,19300,19627.16688096724,20055.73830953867
006,19117,19717,19720,20389.208891644004,20674.92317735829
007,19573,20173,20175,20855.629548004337,21141.343833718624
008,20483,21083,21085,21813.100898419,22241.67232699043
009,21616,22216,22220,22242.071505531432,22884.928648388573
010,22568,23168,23170,23267.890567857674,23339.319139286246
011,24031,24631,24635,24832.493971836073,25475.351114693214
012,24193,24793,24795,24909.105574431636,25623.39128871735
013,25919,26519,26520,26636.79598009837,26922.510265812656
014,28211,28811,28815,29435.83467873801,29792.97753588087
015,31975,32575,32575,33255.62954800434,33541.34383371862
016,33047,33647,33650,33861.67854364321,34504.535686500356
017,35865,36465,36465,36803.5875393185,37232.158967889925
018,38048,38648,38650,38847.49397183608,39490.35111469322
019,38523,39123,39125,39794.208891644004,40079.92317735829
020,39514,40114,40115,40807.05019425921,41092.76447997349
