order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,15082,15682,15685,16322.109949121377,16679.252806264234
002,15787,16387,16390,16469.84360862329,17184.129322909004
003,17166,17766,17770,17886.79598009837,18172.510265812656
004,17837,18437,18440,18670.907506248714,18956.621791963
005,18567,19167,19170,19290.731928183257,19362.16049961183
006,19899,20499,20500,20563.671513193425,20635.100084621998
007,20042,20642,20645,20827.45229338788,21541.738007673594
008,20510,21110,21240,21425.224824667162,21710.93911038145
010,21089,21689,22315,22469.262758790897,22540.69133021947
009,20829,21429,22145,22540.81930671519,23112.247878143764
011,21096,21696,23145,23410.49920276193,23553.35634561907
012,22049,22649,23715,24030.922235069043,24602.350806497616
013,22535,23135,24155,24366.36482410837,25009.22196696551
014,22972,23572,25205,25289.980224945142,25932.837367802284
015,24977,25577,25610,25689.84360862329,26404.129322909004
016,25056,25656,26535,26818.550102501886,27175.692959644744
017,25400,26000,27005,27198.872962143338,27913.15867642905
018,25657,26257,27780,27848.422923607828,28562.708637893542
019,25885,26485,28515,28666.46229626151,28880.748010547224
020,28800,29400,29400,29532.152630591874,29603.581202020447
021,29079,29679,29680,29995.922235069043,30567.350806497616
022,33011,33611,33615,33636.86381039369,33994.006667536545
023,35195,35795,35795,35834.34941325161,36477.20655610876
024,35279,35879,35880,36406.944492524,36906.944492524
025,35423,36023,37080,37288.91464001617,37860.34321144474
026,36980,37580,37580,37728.19028330001,38442.47599758573
027,37380,37980,38465,38556.264278765724,39270.54999305144
028,38236,38836,39045,39216.03162399511,39930.31733828083
029,38901,39501,39875,39982.82157182261,40625.67871467976
