order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,11:09:48,12,,10.033333333333333,5.079577744448094,12.222434887305239,13,132,187,187
002,11:36:24,14,,10.016666666666667,3.467769421030486,8.229674182935248,15,156,204,204
003,11:38:04,5,,10.016666666666667,8.02218453720543,16.355517870538765,6,48,82,83
004,11:38:09,5,,26.516666666666666,6.78733294498088,16.311142468790404,7,48,89,89
005,11:50:30,4,,24.0,5.265370584484057,14.78918010829358,7,36,97,97
006,12:34:11,5,,10.066666666666666,8.972752598066352,17.306085931399686,6,48,77,77
007,12:41:34,16,,10.016666666666667,3.3324239264697098,4.522900116945901,18,180,237,237
008,12:42:15,5,,23.916666666666668,5.646059435664331,15.169868959473856,7,48,95,95
009,12:42:39,12,,28.933333333333334,3.0870804111193744,7.848985173024136,15,132,206,206
010,12:52:36,18,,36.9,0.36439683989483457,6.316777792275787,-1,204,253,272
011,12:54:02,7,,37.38333333333333,1.1403820601304688,13.045143964892373,9,72,125,125
012,12:59:28,17,,46.36666666666667,0.36439683989483457,6.316777792275787,-1,192,253,273
013,13:10:05,8,,44.416666666666664,4.169803242713533,10.122184195094485,-1,84,151,151
014,13:24:19,14,,37.85,4.424986712698835,6.805939093651216,17,156,231,231
015,13:25:09,5,,49.516666666666666,2.8505270665852245,14.755288971347131,9,48,116,116
016,13:30:38,5,,48.36666666666667,3.5227470684728055,14.23703278275852,8,48,112,112
017,13:50:03,8,,49.45,6.259074922364683,15.782884446174206,11,84,162,162
018,14:04:39,4,,38.6,5.835610372055635,15.359419895865159,7,36,94,94
019,14:35:12,14,,30.133333333333333,4.424986712698835,6.805939093651216,17,156,231,231
020,14:45:30,8,,23.166666666666668,0.6558235541935573,11.370109268479272,10,84,132,132
021,15:15:43,5,,10.033333333333333,9.163097068565124,17.496430401898458,6,48,76,76
022,15:32:16,6,,10.066666666666666,6.596988445253191,16.120797969062714,7,60,90,90
023,16:19:40,17,,10.0,2.380701552009365,3.5711777424855558,18,192,242,242
024,16:23:28,12,,10.033333333333333,5.277049356235511,11.229430308616463,14,132,194,194
025,16:38:09,18,,10.016666666666667,0.36439683989483457,6.316777792275787,-1,204,253,258
026,17:09:33,6,,10.033333333333333,5.45571503604721,14.979524559856735,7,60,96,97
027,17:30:23,7,,10.033333333333333,3.7183202475830814,14.432605961868797,8,72,107,107
028,17:37:02,12,,10.05,5.0795777444480334,12.222434887305178,13,132,187,187
029,17:40:07,12,,24.8,3.658113928436554,8.420018690341315,15,132,203,203
030,17:51:12,15,,18.133333333333333,3.6147416501250214,7.186170221553594,16,168,225,225
