order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14437,15037,15040,15097.002223719093,15811.287938004807
002,15868,16468,16470,16670.25786624389,17313.11500910103
003,17381,17981,17985,18024.349413251613,18667.206556108755
004,17812,18412,18415,18797.814266513884,19226.38569508531
005,18078,18678,19270,19597.16688096724,20025.73830953867
006,18565,19165,19830,20038.914640016166,20610.34321144474
007,18673,19273,20630,20804.303638219404,21018.589352505118
008,18732,19332,21215,21624.803811773363,22124.803811773363
009,19567,20167,21620,21722.684934035147,22436.97064832086
010,19931,20531,22725,22746.86381039369,23104.00666753655
011,21566,22166,23040,23180.041625688642,23394.327339974356
012,21818,22418,23705,23812.821571822617,24455.678714679758
013,23146,23746,23995,24127.152630591874,24198.581202020447
014,23944,24544,24800,25025.24784298248,25668.10498583962
015,24159,24759,25060,25233.804154517173,25519.51844023146
016,25079,25679,26120,26342.786782456733,26414.215353885305
017,25319,25919,26270,26724.30147180224,27224.30147180224
018,27241,27841,27845,28092.302996272087,28235.160139129228
019,28095,28695,28695,28891.6454949153,29177.359780629587
020,29762,30362,30365,30392.928713408433,31035.785856265575
021,30092,30692,30695,30914.486835706197,31200.201121420483
023,34549,35149,35150,35334.82987906291,35549.11559334863
022,34543,35143,35145,35428.55010250188,35785.69295964474
024,35780,36380,36380,36591.67854364321,37234.535686500356
025,36198,36798,36800,36821.86381039369,37179.006667536545
026,36302,36902,37780,37957.10409436635,38028.53266579492
027,36402,37002,37835,38028.87296214334,38743.158676429055
028,37376,37976,38630,38747.20028535656,38961.485999642275
029,38224,38824,39345,39470.34894005771,40184.63465434343
030,38294,38894,39565,39719.2627587909,39790.69133021947
