order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,11:00:59,9,,10.016666666666667,1.2259927247617877,11.940278439047502,10,96,135,135
002,11:03:57,6,,10.05,4.88468152552244,14.408491049331964,7,60,99,99
003,11:21:18,10,,11.7,4.36014774816346,13.883957271972983,11,108,152,152
004,11:31:48,17,,10.033333333333333,2.951734906105836,4.142211096582027,18,192,239,239
005,11:42:47,12,,13.216666666666667,4.706015895264015,10.658396847644967,14,132,191,191
006,12:04:19,14,,10.016666666666667,2.7063914077551696,7.468296169659932,15,156,208,208
007,12:12:25,14,,10.0,2.7063914077551696,7.468296169659932,15,156,208,208
008,12:15:01,13,,16.816666666666666,3.8484584374785604,8.610363199383324,15,144,202,202
009,12:16:20,14,,23.583333333333332,3.8050861502832656,6.186038531235647,17,156,226,226
010,12:36:54,9,,13.6,0.5693657696791585,6.5217467220601115,-1,96,128,129
011,12:55:02,16,,10.05,3.7131130409455486,4.903589231421739,18,180,235,235
012,12:55:03,17,,12.033333333333333,2.012198803054283,3.2026749935304735,18,192,244,244
013,13:06:30,14,,13.5,1.7693392644795798,6.531244026384342,15,156,213,213
014,13:23:17,18,,10.05,0.49015776009230955,6.4425387124732625,-1,204,252,252
015,13:25:05,11,,11.5,7.681122678087559,16.014456011420894,12,120,173,173
016,13:34:22,9,,15.466666666666667,1.0356485002167877,11.749934214502503,10,96,134,134
017,13:40:36,14,,22.066666666666666,2.905060636990068,6.4764892084186405,16,156,221,221
018,14:36:07,11,,10.05,7.762035763016199,16.095369096349533,12,120,170,170
019,14:44:14,9,,10.016666666666667,0.7597097746675596,12.664471679429465,9,96,127,127
020,14:58:02,18,,14.3,0.36439683989483457,6.316777792275787,-1,204,253,261
021,15:14:07,10,,10.05,2.1777158441058417,12.892001558391557,10,108,140,140
022,15:51:23,10,,10.033333333333333,4.36014774816346,13.883957271972983,11,108,152,152
023,16:05:54,7,,10.016666666666667,3.522747068472745,14.23703278275846,8,72,112,112
024,16:29:53,17,,10.033333333333333,2.202543843197903,3.3930200336740937,18,192,243,243
025,16:56:25,11,,10.0,7.314887097078948,15.648220430412282,12,120,175,175
026,17:20:56,11,,10.066666666666666,7.681122678087559,16.014456011420894,12,120,173,173
027,17:24:22,12,,10.05,4.896360316595989,10.84874126897694,14,132,192,192
028,17:27:40,11,,27.666666666666668,5.262437200827359,12.405294343684504,13,120,186,186
029,17:29:28,15,,27.616666666666667,2.951734906105776,4.142211096581966,18,168,239,240
030,17:44:16,9,,,,,,,,
