order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
002,14775,15375,15375,15725.136622323338,16296.565193751909
001,14722,15322,15325,15938.532452286592,16295.675309429449
003,17094,17694,17695,17965.940292375264,18323.083149518123
004,17211,17811,17815,18210.81930671519,18782.247878143764
005,17394,17994,17995,18279.450205786176,18850.878777214748
006,17608,18208,18925,18947.741290995844,19304.884148138703
007,17826,18426,19385,19700.922235069043,20272.350806497616
009,19695,20295,20295,20352.002223719093,21066.287938004807
008,19444,20044,20045,20429.39863628599,21000.827207714563
010,20139,20739,20875,21026.05798827132,21311.772273985607
011,20728,21328,21605,21719.105574431636,22433.39128871735
013,20861,21461,21915,21936.86381039369,22294.00666753655
012,20841,21441,21670,22054.39863628599,22625.827207714563
014,20911,21511,22895,23245.008207104114,23673.57963567554
016,21289,21889,23230,23251.86381039369,23609.00666753655
015,21014,21614,23035,23451.05188491075,23951.05188491075
018,22384,22984,24275,24474.94416493644,25189.229879222155
017,21996,22596,24210,24687.142809410252,25187.142809410252
019,23139,23739,24555,24714.610953965825,25428.89666825154
021,24875,25475,25790,25926.76961199712,26641.055326282833
020,23786,24386,25790,26096.096291369442,26453.2391485123
022,24927,25527,26030,26105.049266854723,26176.477838283296
023,24974,25574,26780,26908.620955386978,27122.90666967269
024,25987,26587,27055,27316.608864889808,27888.03743631838
025,25997,26597,27245,27418.804154517173,27704.51844023146
026,28260,28860,28860,29130.57918618322,29702.00775761179
027,28537,29137,29140,29504.123821115805,30075.552392544378
028,29649,30249,30250,30475.24784298248,31118.10498583962
029,30142,30742,30745,31109.123821115805,31680.552392544378
030,31839,32439,32440,32461.86381039369,32819.006667536545
031,32490,33090,33090,33628.365155883985,34128.365155883985
033,35195,35795,35795,36167.97796541115,36739.40653683972
032,35160,35760,35760,36218.48973218541,36718.48973218541
034,35388,35988,35990,36317.16688096724,36745.73830953867
036,36637,37237,37340,37481.72660538015,38124.583748237295
035,36219,36819,37320,37581.60886488981,38153.03743631838
037,38466,39066,39070,39304.20745800881,39375.63602943738
040,39364,39964,39980,40164.82987906291,40379.11559334863
039,39356,39956,39960,40198.76752431774,40770.19609574631
038,39318,39918,39920,40314.234940513845,40814.234940513845
