order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,11:18:49,1,,10.016666666666667,12.099420675074725,15.670849246503298,2,0,31,31
002,11:30:55,11,,10.0,6.743853621873131,15.077186955206464,12,120,178,178
003,11:32:32,12,,10.05,5.262437200827359,12.405294343684504,13,132,186,186
004,11:33:34,14,,21.016666666666666,2.136944100718756,6.8988488626235185,15,156,211,211
005,11:41:14,3,,23.766666666666666,9.54378625308218,17.877119586415514,6,24,74,74
006,11:44:46,17,,21.233333333333334,0.36439683989483457,6.316777792275787,-1,192,253,253
007,11:51:28,7,,20.033333333333335,2.4698380550002184,14.374599959762124,9,72,118,118
008,12:05:01,10,,17.316666666666666,7.952380156837535,16.285713490170867,12,108,171,171
009,12:07:30,18,,25.416666666666668,0.36439683989483457,6.316777792275787,-1,204,253,264
010,12:08:31,1,,27.4,10.34724464563351,16.29962559801446,4,0,43,43
011,12:29:41,15,,18.983333333333334,3.7131130409455486,4.903589231421739,18,168,235,235
012,12:32:39,18,,16.6,0.36439683989483457,6.316777792275787,-1,204,253,256
013,12:39:34,2,,22.683333333333334,12.321512331463419,18.27389328384437,4,12,53,53
014,12:54:24,3,,10.016666666666667,12.866515887958666,20.009373030815812,5,24,56,56
015,12:55:47,2,,10.05,10.963137086301685,15.725041848206448,3,12,37,37
016,12:56:18,3,,34.28333333333333,8.782408208733433,17.115741542066765,6,24,78,78
017,13:03:15,2,,28.333333333333332,11.563981271609737,18.70683841446688,5,12,63,64
018,13:08:12,15,,26.3,3.14207940452258,4.33255559499877,18,168,238,238
019,13:09:46,12,,39.06666666666667,2.8967359086195454,7.658640670524307,15,132,207,207
020,13:14:03,10,,43.7,5.833470118401904,12.97632726125905,13,108,183,183
021,13:26:04,9,,34.266666666666666,5.497697181502917,15.021506705312442,11,96,158,158
022,13:26:35,3,,39.916666666666664,7.500103400827599,15.833436734160932,6,24,85,86
023,13:48:23,7,,32.36666666666667,1.9017595738606057,13.80652147862251,9,72,121,121
024,14:29:58,10,,10.033333333333333,4.36014774816346,13.883957271972983,11,108,152,152
025,14:33:13,1,,10.033333333333333,12.67045361753923,16.241882188967804,2,0,28,28
026,14:52:39,1,,10.016666666666667,12.480109070994997,16.051537642423572,2,0,29,30
027,14:53:22,3,,10.55,12.515703892241072,19.658561035098217,5,24,58,58
028,15:55:46,3,,10.066666666666666,12.706048286713242,19.848905429570387,5,24,57,57
029,15:58:21,3,,10.066666666666666,12.32535945456002,19.468216597417165,5,24,59,59
030,15:58:46,11,,10.066666666666666,6.38023777523146,13.523094918088605,13,120,180,180
031,16:01:44,16,,30.683333333333334,0.6805022426118134,6.6328831949927665,-1,180,251,252
032,16:35:06,9,,10.066666666666666,0.3790215165973981,6.331402468978351,-1,96,129,129
033,16:54:57,9,,10.05,0.4654785568071626,11.179764271092877,10,96,131,131
034,16:58:30,15,,10.0,2.14368258978296,5.715111161211532,16,168,217,217
035,17:18:55,10,,10.0,5.878385871643816,15.40219539545334,11,108,160,160
036,17:21:53,15,,10.033333333333333,3.4611869053947886,7.032615476823361,16,168,224,224
037,17:25:29,18,,10.016666666666667,0.6805022426118134,6.6328831949927665,-1,204,251,252
038,17:38:40,12,,10.333333333333334,4.889233237457302,10.841614189838253,14,132,188,188
039,17:39:16,2,,12.9,10.612577142257578,16.56495809463853,4,12,44,44
040,17:49:58,10,,10.033333333333333,2.7427991017130506,13.457084815998765,10,108,143,143
