order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,11:01:40,14,,10.0,2.517633137855349,7.279537899760111,15,156,209,209
002,11:27:58,8,,10.033333333333333,2.0891490009618185,13.993910905723725,9,84,120,121
003,11:28:42,13,,10.05,4.535490522427305,10.487871474808257,14,144,198,198
004,11:33:46,16,,10.066666666666666,3.9034576334801385,5.09393382395633,18,180,234,234
005,11:34:09,14,,24.85,3.614741650124961,7.1861702215535335,16,156,225,225
006,11:43:58,12,,15.283333333333333,5.101604856157367,11.05398580853832,14,132,195,195
007,11:51:22,17,,10.633333333333333,2.202543843197903,3.3930200336740937,18,192,243,243
008,11:54:24,16,,21.016666666666666,2.7613904312132944,3.951866621689485,18,180,240,241
009,11:59:55,9,,16.333333333333332,0.3678584255238699,11.082144139809584,10,96,130,130
010,12:00:25,15,,19.916666666666668,4.424986712698835,6.805939093651216,17,168,231,231
011,12:07:40,6,,21.75,3.1850282892865533,13.899314003572268,8,60,110,110
012,12:26:49,14,,10.35,2.8967359086195454,7.658640670524307,15,156,207,207
013,12:29:48,18,,10.033333333333333,1.2508211142453851,2.4412973047215756,18,204,248,248
014,12:30:15,15,,22.083333333333332,3.14207940452258,4.33255559499877,18,168,238,238
015,12:30:46,15,,22.566666666666666,2.951734906105836,4.142211096582027,18,168,239,239
016,12:32:29,16,,22.35,2.7613904312132944,3.951866621689485,18,180,240,240
017,12:34:49,7,,31.85,0.7597097746675596,12.664471679429465,9,72,127,127
018,12:45:32,15,,21.966666666666665,4.424986712698835,6.805939093651216,17,168,231,230
019,12:48:53,18,,19.95,0.36439683989483457,6.316777792275787,-1,204,253,268
020,12:51:48,6,,32.53333333333333,2.279493533285313,14.184255438047218,9,60,119,119
021,13:01:41,18,,23.483333333333334,0.36439683989483457,6.316777792275787,-1,204,253,268
022,13:14:53,16,,14.45,3.9034576334801385,5.09393382395633,18,180,234,234
023,13:17:51,12,,23.65,4.038802948155535,8.800707710060298,15,132,201,201
024,13:18:39,9,,25.85,3.9794587386290003,13.503268262438525,11,96,150,150
025,13:23:58,16,,24.616666666666667,2.380701552009365,3.5711777424855558,18,180,242,242
026,13:30:13,12,,30.116666666666667,3.8484584374785604,8.610363199383324,15,132,202,202
027,13:43:43,13,,18.45,3.6581139284366144,8.420018690341376,15,144,203,203
028,13:50:40,7,,17.416666666666668,3.1850282892865533,13.899314003572268,8,72,110,110
029,14:06:55,17,,12.083333333333334,1.821854010089252,3.012330200565443,18,192,245,245
030,14:13:03,12,,10.033333333333333,4.698888730903127,10.65126968328408,14,132,189,189
031,14:18:36,13,,13.4,4.535490522427305,10.487871474808257,14,144,198,198
032,14:35:01,18,,10.066666666666666,0.49015776009230955,6.4425387124732625,-1,204,252,252
033,14:55:08,9,,10.033333333333333,0.5693657696791585,6.5217467220601115,-1,96,128,128
034,14:59:32,12,,10.05,4.706015895264015,10.658396847644967,14,132,191,191
035,15:12:37,13,,10.05,5.101604856157367,11.05398580853832,14,144,195,195
036,15:15:46,12,,10.066666666666666,4.698888730903127,10.65126968328408,14,132,189,189
037,15:35:54,18,,10.016666666666667,0.36439683989483457,6.316777792275787,-1,204,253,259
038,16:04:25,16,,10.0,4.121716604534716,6.502668985487097,17,180,228,228
039,16:46:01,13,,10.066666666666666,4.535490522427305,10.487871474808257,14,144,198,198
040,16:49:20,8,,10.0,2.4698380550002184,14.374599959762124,9,84,118,118
041,16:50:51,7,,10.066666666666666,3.522747068472745,14.23703278275846,8,72,112,112
042,16:56:41,18,,19.9,0.36439683989483457,6.316777792275787,-1,204,253,259
043,17:05:52,13,,17.883333333333333,3.087080411119435,7.8489851730241975,15,144,206,206
044,17:10:06,8,,15.066666666666666,1.1403820601305295,13.045143964892436,9,84,125,125
045,17:13:06,7,,19.816666666666666,2.8505270665852245,14.755288971347131,9,72,116,116
046,17:14:39,9,,27.016666666666666,2.7427991017130506,13.457084815998765,10,96,143,143
047,17:42:23,18,,10.033333333333333,0.36439683989483457,6.316777792275787,-1,204,253,259
048,17:46:24,18,,11.35,0.36439683989483457,6.316777792275787,-1,204,253,256
049,17:48:00,15,,17.166666666666668,4.424986712698835,6.805939093651216,17,168,231,231
050,17:56:05,15,,12.666666666666666,1.578994834225523,5.150423405654095,16,168,214,214
