order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,13,1,10,3,8,15
002,10:00,11,2,28,3,8,15
003,10:00,6,3,46,6,16,11
004,10:12,6,3,60,9,18,12
005,10:30,11,3,,,,11
008,12:01,16,1,10,4,7,17
009,13:10,8,1,10,6,16,11
010,13:43,15,1,10,3,7,16
011,14:11,6,1,10,4,16,8
012,14:13,18,1,34,2,3,18
013,14:59,17,1,10,2,3,18
014,15:13,15,1,10,4,7,17
015,15:52,7,1,10,2,14,9
017,16:35,17,1,10,2,3,18
020,16:56,12,1,10,6,12,14
021,17:48,10,1,10,7,15,13
022,18:39,8,1,10,3,14,10
023,18:40,17,1,,,,17
025,19:10:00,14,,,,,14
026,19:23:00,8,,,,,8
027,20:01:00,13,,,,,13
028,20:28:00,17,,,,,17
029,20:46:00,14,,,,,14
030,21:08:00,13,,,,,13
031,21:13:00,18,,,,,18
032,21:34:00,17,,,,,17
