simulation_id,ID,timestamp,timestamp_s,action,node_id,hole,ttl_amt,type,order_id,runner_id,cart_id,group_id,latitude,longitude,status,details
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_1,07:00:00,0,tee_off,,1,,golfer_group,,,,1,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,bev_cart_1,07:00,0,service_idle,,,,beverage_cart,,,bev_cart_1,,,,,Beverage cart waiting 120 minutes until service starts
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_2,07:20:00,1200,tee_off,,1,,golfer_group,,,,2,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_3,07:40:00,2400,tee_off,,1,,golfer_group,,,,3,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_4,08:00:00,3600,tee_off,,1,,golfer_group,,,,4,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_5,08:15:00,4500,tee_off,,1,,golfer_group,,,,5,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_6,08:30:00,5400,tee_off,,1,,golfer_group,,,,6,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_7,08:45:00,6300,tee_off,,1,,golfer_group,,,,7,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_8,09:00:00,7200,tee_off,,1,,golfer_group,,,,8,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,bev_cart_1,09:00,7200,service_opened,,,,beverage_cart,,,bev_cart_1,,,,,Beverage cart service started
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,bev_cart_1,09:00,7200,coordinates_generated,,,,beverage_cart,,,bev_cart_1,,,,,Generated 541 GPS coordinates for beverage cart route using loop points
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_9,09:20:00,8400,tee_off,,1,,golfer_group,,,,9,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_10,09:40:00,9600,tee_off,,1,,golfer_group,,,,10,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_11,10:00:00,10800,tee_off,,1,,golfer_group,,,,11,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_12,10:20:00,12000,tee_off,,1,,golfer_group,,,,12,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,sales_event,10:22:00,12120,sale,,12,12.0,order,,,,4,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,sales_event,10:29:00,12540,sale,,11,12.0,order,,,,5,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,sales_event,10:37:00,13020,sale,,1,12.0,order,,,,6,,,,
20250819_144701_bev_with_golfers_1_carts_1_groups_typical_weekday_run_01,golf_group_13,10:40:00,13200,tee_off,,1,,golfer_group,,,,13,,,,
