simulation_id,ID,timestamp,timestamp_s,action,node_id,hole,ttl_amt,type,order_id,runner_id,cart_id,group_id,latitude,longitude,status,details
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,07:00:00,-21180,sale,,18,12.0,order,,,,55,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,07:00:00,-20760,sale,,18,12.0,order,,,,56,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,07:00:00,-20280,sale,,17,12.0,order,,,,57,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,07:00:00,-19380,sale,,16,12.0,order,,,,59,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,07:00:00,-18960,sale,,15,12.0,order,,,,60,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,07:00:00,-18480,sale,,14,12.0,order,,,,61,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,07:00:00,-18060,sale,,14,12.0,order,,,,62,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,07:00:00,-17160,sale,,12,12.0,order,,,,64,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,07:00:00,-15360,sale,,10,12.0,order,,,,68,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,bev_cart_1,07:00,0,service_idle,,,,beverage_cart,,,bev_cart_1,,,,,Beverage cart waiting 120 minutes until service starts
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_1,07:45:00,2700,tee_off,,1,,golfer_group,,,,1,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_2,07:53:00,3180,tee_off,,1,,golfer_group,,,,2,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_3,08:01:00,3660,tee_off,,1,,golfer_group,,,,3,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_4,08:09:00,4140,tee_off,,1,,golfer_group,,,,4,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_5,08:17:00,4620,tee_off,,1,,golfer_group,,,,5,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_6,08:25:00,5100,tee_off,,1,,golfer_group,,,,6,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_7,08:33:00,5580,tee_off,,1,,golfer_group,,,,7,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_8,08:41:00,6060,tee_off,,1,,golfer_group,,,,8,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_9,08:49:00,6540,tee_off,,1,,golfer_group,,,,9,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_10,08:57:00,7020,tee_off,,1,,golfer_group,,,,10,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,bev_cart_1,09:00,7200,service_opened,,,,beverage_cart,,,bev_cart_1,,,,,Beverage cart service started
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,bev_cart_1,09:00,7200,coordinates_generated,,,,beverage_cart,,,bev_cart_1,,,,,Generated 541 GPS coordinates for beverage cart route using loop points
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,sales_event,09:00:00,7200,sale,,1,12.0,order,,,,6,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_11,09:05:00,7500,tee_off,,1,,golfer_group,,,,11,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_12,09:13:00,7980,tee_off,,1,,golfer_group,,,,12,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_13,09:21:00,8460,tee_off,,1,,golfer_group,,,,13,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_14,09:30:00,9000,tee_off,,1,,golfer_group,,,,14,,,,
20250820_125933_bev_with_golfers_1_carts_10_groups_real_tee_sheet_run_01,golf_group_15,09:39:00,9540,tee_off,,1,,golfer_group,,,,15,,,,
