order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,8400,9000,9000,9101.242335020941,9327.904279097675
002,9540,10140,10140,10377.507321186635,10909.24012981343
003,12180,12780,12780,12886.648728633636,13125.414539007446
004,12900,13500,13500,13573.315816455217,13737.455704041526
005,13560,14160,14160,14292.446372500144,14588.968101978078
006,14760,15360,15360,15477.298860464894,15739.908249565406
007,16440,17040,17040,17137.103441061536,17354.499204632135
008,18240,18840,18840,18936.0431701868,19151.065192993065
009,18300,18900,18900,18975.591095057243,19144.824889961525
010,21120,21720,21720,21965.849192517777,22516.25783248295
011,22680,23280,23280,23297.864333961996,23337.859111488855
012,23640,24240,24240,24470.647993045794,24987.024096879657
013,24840,25440,25440,25575.22718147232,25877.974602679005
014,25860,26460,26460,26559.940689072784,26783.68850042976
015,25920,26520,26520,26576.630877083542,26703.41642279296
016,26460,27060,27305,27460.08195429247,27807.280359424865
017,27540,28140,28140,28331.319500128146,28759.646739221007
018,27600,28200,28410,28566.676688773685,28917.445394983424
019,27960,28560,29360,29614.600208209093,30184.600674348858
020,31080,31680,31680,31753.386598695106,31917.684953982654
021,32400,33000,33000,33056.63087708354,33183.41642279296
022,32880,33480,33480,33577.64460136252,33796.251917845766
023,33180,33780,33785,33997.76072603434,34474.09070969333
024,34500,35100,35100,35156.63087708354,35156.63087708354
025,35700,36300,36333.333333333336,36467.35345076841,36767.39848980216
026,35940,36540,36540,36789.53193217309,37348.185511665084
027,37140,37740,37740,37852.31287189396,38103.75960001477
028,37500,38100,38100,38222.38367872291,38496.37698929658
029,39120,39720,39720,39946.17904275533,40452.550033998596
030,39360,39960,39960,40133.553083960076,40522.10476446772
