order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14375,14975,14975,14992.864333961998,15032.859111488857
002,17746,18346,18350,18511.797559010673,18874.030900079342
003,19667,20267,20270,20321.570222631395,20437.025944940488
004,19978,20578,21040,21085.30257347186,21186.726245423786
005,23062,23662,23665,23721.630877083542,23721.630877083542
006,23180,23780,24358.333333333332,24433.924428390575,24603.158223294857
007,28099,28699,28700,28856.133415050357,29205.685836804885
008,31083,31683,31685,31812.958365669358,32099.432318660456
009,34312,34912,34915,35005.379026197756,35207.72012962557
010,36990,37590,37590,37646.63087708354,37646.63087708354
