order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,10977,11577,11580,11731.837285037605,12071.771505271048
002,12650,13250,13250,13422.074370798446,13807.315499451683
003,14894,15494,15495,15658.165555640033,16023.46157572966
004,15993,16593,16625,16797.074370798447,17182.315499451684
005,16548,17148,17785,17841.630877083542,17841.630877083542
006,18031,18631,18668.333333333332,18936.972775813694,19538.404363456295
007,18200,18800,20140,20196.630877083542,20196.630877083542
008,18847,19447,20833.333333333332,20889.964210416874,20889.964210416874
009,20573,21173,21523.333333333332,21697.77979374613,22088.3315707897
010,23616,24216,24220,24288.562652400455,24442.061127923862
011,24711,25311,25315,25558.86778883706,26104.840450412565
012,24714,25314,26705,26789.714882952852,26979.375068668196
013,26616,27216,27580,27770.104154885492,28195.710471793307
014,27665,28265,28800,28856.630877083542,28856.630877083542
015,31922,32522,32558.333333333332,32648.71235953109,32851.05346295891
016,32420,33020,33455,33472.864326115836,33512.859086076656
017,33810,34410,34410,34491.25523822388,34673.1699506654
018,36276,36876,36880,36967.34469184324,37162.89250940273
019,37360,37960,37960,37983.52847384359,38036.20416155311
020,37542,38142,38640,38680.52094056515,38771.239464218466
