order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,10:21:09,10,,10.016666666666667,5.4234478738402006,10.846895747680401,11,108,144,144
002,10:44:31,12,,10.066666666666666,6.81622124585809,13.63244249171618,13,132,176,176
003,11:11:17,11,,10.05,9.240314249205035,18.48062849841007,12,120,164,164
004,11:23:15,11,,21.5,7.864706580167883,15.729413160335765,13,120,171,171
005,11:33:20,13,,32.833333333333336,2.6092146281081106,5.218429256216221,16,144,206,206
006,12:00:25,11,,19.583333333333332,7.442009206201397,14.884018412402794,13,120,173,173
007,12:07:52,7,,32.96666666666667,0.6665793326803888,1.3331586653607777,9,72,119,119
008,12:09:00,12,,42.833333333333336,3.8204979970561013,7.6409959941122025,16,132,212,212
009,12:22:30,10,,44.916666666666664,7.01931257438747,14.03862514877494,13,108,175,175
010,13:34:07,15,,10.05,3.432106517543111,6.864213035086222,16,168,210,210
011,13:38:29,16,,20.683333333333334,1.2676978032811685,2.535395606562337,18,180,233,233
012,13:46:19,18,,24.766666666666666,0.0,0.0,18,204,0,264
013,14:18:54,17,,10.566666666666666,2.315608858715628,4.631217717431256,18,192,228,228
014,14:32:13,4,,10.616666666666667,10.333570677089586,20.667141354179172,5,36,56,56
015,15:34:19,8,,10.016666666666667,1.7232707713888458,3.4465415427776915,9,84,114,114
016,16:03:01,11,,10.066666666666666,7.532604511180403,15.065209022360806,11,120,154,154
017,16:49:05,14,,10.0,2.2649920610541288,4.5299841221082575,15,156,198,198
018,17:07:52,11,,10.05,7.9542059667748495,15.908411933549699,12,120,156,156
019,17:23:58,13,,15.533333333333333,3.3200800766627747,6.640160153325549,15,144,193,193
020,17:44:13,4,,10.116666666666667,9.910873406313518,19.821746812627037,5,36,58,58
