order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,11874,12474,12475,12723.647894466058,13280.32228506171
002,13253,13853,13885,14108.19262530638,14607.877607335588
003,15731,16331,16335,16617.603835524234,17250.298989682968
004,15821,16421,17855,17911.630877083542,18038.41642279296
005,16192,16792,18640,18761.249576871527,19032.703853449573
006,19246,19846,19850,20006.133415050357,20355.685836804885
007,19585,20185,20960,21128.004974699525,21504.135515071594
008,20072,20672,22105,22278.55308396008,22667.10476446772
009,20275,20875,23270,23368.672977377508,23589.58262822267
010,23299,23899,24190,24212.65655827513,24263.380196204518
011,24284,24884,24885,24941.630877083542,25068.41642279296
012,24828,25428,25670,25869.445846726197,26315.96639909828
013,26518,27118,27120,27216.0431701868,27431.065192993065
014,26959,27559,28035,28084.78912571876,28196.257317626427
015,29742,30342,30345,30438.008831383275,30646.237558360754
016,33242,33842,33845,33961.93312211743,34223.72369402212
017,34290,34890,34890,35161.27555140107,35768.608875433325
018,36269,36869,36870,36991.24957687153,37262.70385344958
019,36785,37385,37865,37922.2343662233,38050.37100702175
020,38096,38696,38700,38822.38367872291,39096.37698929658
