order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,11014,11614,11615,11749.020117435075,12049.065156468823
002,13067,13667,13670,13927.444504109646,14503.812796892435
003,14402,15002,15105,15228.898906650751,15506.284518555418
004,15189,15789,16110,16133.527092428256,16186.199687416887
005,16480,17080,17080,17182.767583941433,17412.84426440733
006,19917,20517,20520,20582.898509479703,20723.716068016354
007,20510,21110,21325,21470.348403018917,21795.75527544933
008,20573,21173,22400,22511.63471747933,22761.56318944798
009,20676,21276,23365,23486.249576871527,23757.703853449573
010,22183,22783,24360,24377.864333961996,24417.859111488855
011,23860,24460,25020,25302.603835524234,25935.298989682968
012,24268,24868,26540,26786.116224521495,27337.122697330815
013,25379,25979,27940,27996.630877083542,27996.630877083542
014,25516,26116,28633.333333333332,28765.779705833476,29062.301435311412
015,31722,32322,32325,32463.08951909916,32772.245158873404
016,32678,33278,33375,33518.75366624004,33840.59023244908
017,35280,35880,35880,35964.71488295285,36154.375068668196
018,37037,37637,37640,37789.41781130455,38123.9352992998
019,38651,39251,39255,39336.25523822388,39518.1699506654
020,39509,40109,40120,40178.598666413905,40309.78971062415
