order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,10:28:13,7,,10.033333333333333,5.408611689638639,10.817223379277278,7,72,95,95
002,10:57:55,10,,10.0,4.578053433657995,9.15610686731599,11,108,140,140
003,11:05:53,13,,18.7,2.687689393172379,5.375378786344758,15,144,196,196
004,11:11:45,12,,26.75,4.524237942967461,9.048475885934922,14,132,187,187
005,11:36:51,2,,18.233333333333334,8.3380463720125,16.676092744025,4,12,40,40
006,12:28:22,16,,10.05,4.393514066466718,8.787028132933436,17,180,215,215
007,12:35:23,8,,19.45,1.300626012880321,2.601252025760642,10,84,124,124
008,12:41:00,10,,25.75,8.817616977068864,17.63523395413773,12,108,166,166
009,12:59:45,7,,29.833333333333332,1.7232707713888458,3.4465415427776915,9,72,114,114
010,13:04:11,8,,37.9,3.8346113410982765,7.669222682196553,10,84,136,136
011,13:15:30,7,,42.166666666666664,3.411914113036137,6.823828226072274,10,72,134,134
012,13:56:39,1,,16.016666666666666,6.927438946568761,13.854877893137521,3,0,33,33
013,14:00:26,18,,32.31666666666667,0.0,0.0,18,204,0,267
014,14:10:28,9,,33.833333333333336,5.634796487870673,11.269592975741347,11,96,145,145
015,15:46:24,17,,10.016666666666667,2.9496544944774636,5.899308988954927,18,192,225,225
016,16:00:26,13,,10.316666666666666,4.7306801196491275,9.461360239298255,14,144,186,186
017,16:37:43,7,,10.033333333333333,3.2591302926582264,6.518260585316453,9,72,106,106
018,17:42:12,8,,10.05,1.5119226630933753,3.0238453261867506,9,84,115,115
019,17:49:09,10,,15.35,6.268842339534467,12.537684679068933,11,108,148,148
020,17:54:08,15,,,,,,,,
