order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,13069,13669,13670,13687.864326115834,13727.859086076658
002,13693,14293,14330,14585.162028331424,15156.42030071521
003,15933,16533,16535,16610.591095057243,16779.824889961525
004,16805,17405,17405,17501.0431701868,17716.065192993065
005,17294,17894,18320,18425.97057454563,18663.218129498535
006,19017,19617,19620,19871.513320683607,20434.60284460213
007,19323,19923,21035,21091.630877083542,21091.630877083542
008,19655,20255,21728.333333333332,21808.446227496206,21987.80345323398
009,20169,20769,22590,22791.432440929955,23242.400592265672
010,23083,23683,23845,24088.271924833876,24632.910562521658
011,23855,24455,25235,25308.386598695106,25472.684953982654
012,24402,25002,26075,26285.7741363485,26757.656531158573
013,26906,27506,27510,27705.76829802524,28144.055532410104
014,28363,28963,28965,29194.609215809374,29708.65969896469
015,30990,31590,31590,31816.179042755328,32322.5500339986
016,32745,33345,33345,33451.648728633634,33690.41453900745
017,33394,33994,34295,34351.63087708354,34351.63087708354
018,37742,38342,38378.333333333336,38389.6615981572,38415.02338507631
019,38336,38936,39020,39186.410234039424,39558.970459500815
020,38966,39566,40160,40216.63087708354,40216.63087708354
