order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,10:15:06,4,,10.066666666666666,9.699524694427168,19.399049388854337,5,36,59,59
002,11:24:15,12,,10.0,6.81622124585809,13.63244249171618,13,132,176,176
003,12:01:10,18,,10.0,1.0563498761764691,2.1126997523529383,18,204,234,234
004,12:02:34,9,,20.183333333333334,2.1438917363682464,4.287783472736493,10,96,128,128
005,13:46:28,5,,10.033333333333333,9.28865924645842,18.57731849291684,6,48,72,72
006,13:56:16,18,,23.733333333333334,0.0,0.0,18,204,0,254
007,14:52:43,9,,10.583333333333334,1.0892255689711932,2.1784511379423863,9,96,117,117
008,15:58:14,7,,10.016666666666667,5.614524979375687,11.229049958751373,7,72,94,94
009,16:16:25,15,,10.0,1.6464545729825726,3.292909145965145,16,168,201,201
010,17:26:26,16,,10.066666666666666,4.355206532883292,8.710413065766584,17,180,218,218
