order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,11706,12306,12310,12569.947261810648,13151.918743476279
002,15855,16455,16455,16637.674729388997,17046.648004140483
003,18070,18670,18670,18698.31017668153,18761.691169252117
004,18154,18754,19365,19422.456298534667,19551.08980271676
005,24388,24988,24990,25238.936067805087,25796.25562259259
006,24976,25576,26400,26456.630877083542,26456.630877083542
007,28363,28963,28998.333333333332,29027.52457858176,29092.87811272003
008,32294,32894,32895,33045.46926944727,33382.34076820981
009,33385,33985,33985,34029.124982555935,34127.91225693489
010,37586,38186,38190,38306.71953508127,38568.03192705427
