order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,13712,14312,14315,14483.004974699525,14859.135515071592
002,15037,15637,15640,15746.648728633636,15985.414539007446
003,18983,19583,19585,19830.849192517777,20381.25783248295
004,20607,21207,21210,21331.249576871527,21602.703853449573
005,21735,22335,22335,22501.41023403942,22873.97045950081
006,22750,23350,23475,23722.640421878696,24277.059276830998
007,25308,25908,25910,26054.950793282314,26379.467494660632
008,30237,30837,30840,30887.270381365583,30993.09959337808
009,33759,34359,34360,34435.59109505724,34604.82488996152
010,37546,38146,38150,38231.25523822388,38413.1699506654
