order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,10:49:06,12,,10.066666666666666,5.997988627023891,11.995977254047782,14,132,180,180
002,11:04:21,7,,13.566666666666666,4.363176198411533,8.726352396823065,8,72,100,100
003,12:05:15,9,,10.0,0.455231415174934,0.910462830349868,12,96,120,120
004,12:57:08,8,,10.033333333333333,2.558307925390126,5.116615850780252,9,84,110,110
005,13:07:47,8,,13.133333333333333,1.7232707713888458,3.4465415427776915,9,84,114,114
006,13:13:21,16,,20.066666666666666,2.7383059214591214,5.476611842918243,18,180,226,226
007,14:33:56,12,,10.066666666666666,5.786640085539933,11.573280171079865,14,132,181,181
008,15:33:19,9,,10.016666666666667,0.6665796254476508,1.3331592508953016,12,96,121,121
009,16:28:38,7,,10.033333333333333,4.985914533341762,9.971829066683524,8,72,97,97
010,17:09:22,18,,10.05,0.8453939654898627,1.6907879309797254,18,204,235,235
