order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,10:44:28,13,,10.033333333333333,5.3639427701506825,10.727885540301365,14,144,183,183
002,11:57:42,1,,10.05,5.242872576036019,10.485745152072038,2,0,25,25
003,12:38:54,1,,10.016666666666667,4.200396436578703,8.400792873157407,2,0,20,20
004,12:59:04,17,,10.016666666666667,2.1130924284903223,4.226184856980645,18,192,229,229
005,13:08:34,1,,13.6,5.665570337224058,11.331140674448116,2,0,27,27
006,13:18:22,7,,22.05,3.192353699576951,6.384707399153902,9,72,107,107
007,14:48:29,8,,10.016666666666667,1.9242620384848714,3.848524076969743,9,84,113,113
008,15:50:58,2,,10.033333333333333,7.138787318214332,14.277574636428664,3,12,34,34
009,16:03:06,12,,18.233333333333334,4.376823151675183,8.753646303350367,15,132,188,188
010,17:27:45,12,,10.0,7.01931257438747,14.03862514877494,13,132,175,175
