order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,13468,14068,14070,14213.753666240038,14535.590232449078
002,17862,18462,18465,18605.508985037766,18920.08133959993
003,20334,20934,20935,21047.57062450031,21299.59441069503
004,21544,22144,22145,22201.630877083542,22328.41642279296
005,22114,22714,22930,23081.837285037604,23421.77150527105
006,22702,23302,24025,24110.555079148664,24302.09630112328
007,28109,28709,28710,28761.570222631395,28877.025944940488
008,31858,32458,32460,32651.319500128146,33079.646739221
009,32586,33186,33680,33797.29886046489,34059.9082495654
010,37665,38265,38265,38453.11757699359,38874.27633145684
