order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,10:41:12,2,,10.05,8.127945434210043,16.255890868420085,4,12,39,39
002,11:31:43,18,,10.033333333333333,0.6340450735433545,1.268090147086709,18,204,236,237
003,12:52:35,17,,10.0,1.901743334673012,3.803486669346024,18,192,230,230
004,12:56:36,18,,18.816666666666666,0.0,0.0,18,204,0,259
005,13:10:01,18,,16.95,0.42269644865177924,0.8453928973035585,18,204,237,237
006,13:37:45,11,,10.0,7.109906924300243,14.219813848600486,11,120,152,152
007,14:31:19,13,,10.016666666666667,4.524237942967461,9.048475885934922,14,144,187,187
008,15:55:00,6,,10.0,6.24857094507762,12.49714189015524,7,60,91,91
009,16:23:45,11,,10.0,8.1167339502496,16.2334679004992,12,120,157,157
010,17:25:45,10,,10.0,3.8346113410982765,7.669222682196553,10,108,136,136
