order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,10:20:07,4,,10.05,7.043636267244683,14.087272534489365,4,36,92,92
002,11:05:51,4,,10.066666666666666,7.308914926872009,14.617829853744018,4,36,95,95
003,12:09:30,4,,10.0,6.410443770604938,12.820887541209876,4,36,85,85
004,12:57:51,4,,10.066666666666666,5.138592704895263,10.277185409790526,4,36,159,160
005,13:29:28,4,,10.033333333333333,3.9723607442367928,7.9447214884735855,4,36,172,172
006,13:43:21,4,,10.066666666666666,2.8406386266742274,5.681277253348455,4,36,185,185
007,14:10:46,4,,10.066666666666666,2.8406386266742274,5.681277253348455,4,36,185,185
008,15:58:01,1,,10.066666666666666,1.8349932006952232,3.6699864013904464,2,0,21,21
009,16:29:09,4,,10.016666666666667,0.7213565000215779,1.4427130000431558,4,36,231,231
010,17:19:25,4,,10.0,3.6543371118775414,7.308674223755083,4,36,176,177
