order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,11287,11887,11890,12194.970982078918,12499.941964157835
002,14056,14656,14660,14840.468543029036,15020.937086058071
003,15033,15633,15635,15753.663681140159,15872.327362280317
004,16936,17536,17540,17629.62894124522,17719.25788249044
005,17031,17631,17635,18165.30643342875,18695.612866857497
006,18115,18715,18715,19159.466832018876,19603.93366403775
007,18132,18732,19300,19411.329598428194,19522.659196856388
008,20528,21128,21130,21511.663381275986,21893.326762551973
009,21218,21818,21820,21949.518407349886,22079.03681469977
010,23716,24316,24320,24574.62373661749,24829.24747323498
012,25097,25697,25700,25743.281390001295,25743.281390001295
011,24756,25356,25360,25771.76348504253,26183.526970085062
013,25202,25802,26378.333333333332,26817.372801868692,27256.412270404053
014,26019,26619,26785,26880.019819152167,26975.039638304333
015,30065,30665,30665,30875.523680119124,31086.047360238248
016,33217,33817,33820,33963.55419420464,34107.10838840928
017,34113,34713,34715,34869.408923605486,35023.81784721097
018,36436,37036,37040,37538.101280872914,38036.20256174583
019,37221,37821,37825,38212.09074025817,38599.181480516345
020,37563,38163,38640,38787.905341110585,38935.81068222117
