simulation_id,ID,timestamp,timestamp_s,action,node_id,hole,ttl_amt,type,order_id,runner_id,cart_id,group_id,latitude,longitude,status,details
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_1,07:00:00,0,tee_off,,1,,golfer_group,,,,1,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,07:00,0,service_closed,,,,delivery_runner,,runner_1,,,,,,runner_1 waiting 240 minutes until opening
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,07:00,0,service_closed,,,,delivery_runner,,runner_2,,,,,,runner_2 waiting 240 minutes until opening
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,07:00,0,service_closed,,,,delivery_runner,,runner_3,,,,,,runner_3 waiting 240 minutes until opening
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_2,07:10:00,600,tee_off,,1,,golfer_group,,,,2,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_3,07:20:00,1200,tee_off,,1,,golfer_group,,,,3,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,order_001,07:22:00,1320,order_placed,,2,,order,001,,,2,,,processed,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_4,07:30:00,1800,tee_off,,1,,golfer_group,,,,4,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,order_002,07:30:00,1800,order_placed,,1,,order,002,,,4,,,processed,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_5,07:40:00,2400,tee_off,,1,,golfer_group,,,,5,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_6,07:50:00,3000,tee_off,,1,,golfer_group,,,,6,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_7,08:00:00,3600,tee_off,,1,,golfer_group,,,,7,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,order_003,08:08:00,4080,order_placed,,5,,order,003,,,3,,,processed,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_8,08:10:00,4200,tee_off,,1,,golfer_group,,,,8,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_9,08:20:00,4800,tee_off,,1,,golfer_group,,,,9,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_10,08:30:00,5400,tee_off,,1,,golfer_group,,,,10,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_11,08:40:00,6000,tee_off,,1,,golfer_group,,,,11,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_12,08:50:00,6600,tee_off,,1,,golfer_group,,,,12,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,order_004,08:52:00,6720,order_placed,,7,,order,004,,,5,,,processed,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_13,09:00:00,7200,tee_off,,1,,golfer_group,,,,13,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_14,09:10:00,7800,tee_off,,1,,golfer_group,,,,14,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_15,09:20:00,8400,tee_off,,1,,golfer_group,,,,15,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_16,09:30:00,9000,tee_off,,1,,golfer_group,,,,16,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_17,09:40:00,9600,tee_off,,1,,golfer_group,,,,17,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_18,09:50:00,10200,tee_off,,1,,golfer_group,,,,18,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_19,10:00:00,10800,tee_off,,1,,golfer_group,,,,19,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_20,10:10:00,11400,tee_off,,1,,golfer_group,,,,20,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_21,10:20:00,12000,tee_off,,1,,golfer_group,,,,21,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_22,10:30:00,12600,tee_off,,1,,golfer_group,,,,22,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_23,10:40:00,13200,tee_off,,1,,golfer_group,,,,23,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,order_005,10:46:00,13560,order_placed,,9,,order,005,,,14,,,processed,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_24,10:50:00,13800,tee_off,,1,,golfer_group,,,,24,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,order_006,10:54:00,14040,order_placed,,8,,order,006,,,16,,,processed,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_25,11:00:00,14400,tee_off,,1,,golfer_group,,,,25,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:00,14400,service_opened,,,,delivery_runner,,runner_1,,,,,,runner_1 started shift
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:00,14400,service_opened,,,,delivery_runner,,runner_2,,,,,,runner_2 started shift
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:00,14400,service_opened,,,,delivery_runner,,runner_3,,,,,,runner_3 started shift
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runners,11:00,14400,order_received,,,,delivery_runner,001,,,,,,,New order from Group 2 on Hole 2
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runners,11:00,14400,order_received,,,,delivery_runner,002,,,,,,,New order from Group 4 on Hole 1
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runners,11:00,14400,order_received,,,,delivery_runner,003,,,,,,,New order from Group 3 on Hole 5
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runners,11:00,14400,order_received,,,,delivery_runner,004,,,,,,,New order from Group 5 on Hole 7
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runners,11:00,14400,order_received,,,,delivery_runner,005,,,,,,,New order from Group 14 on Hole 9
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runners,11:00,14400,order_received,,,,delivery_runner,006,,,,,,,New order from Group 16 on Hole 8
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:00,14400,order_assigned,,,,delivery_runner,001,runner_1,,,,,,Assigned Order 001 to runner_1
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:00,14400,order_assigned,,,,delivery_runner,002,runner_2,,,,,,Assigned Order 002 to runner_2
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:00,14400,prep_start,,,,delivery_runner,001,runner_1,,,,,,runner_1 started prep for Order 001 (Hole 2)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:00,14400,order_assigned,,,,delivery_runner,003,runner_3,,,,,,Assigned Order 003 to runner_3
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:00,14400,prep_start,,,,delivery_runner,002,runner_2,,,,,,runner_2 started prep for Order 002 (Hole 1)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:00,14400,prep_start,,,,delivery_runner,003,runner_3,,,,,,runner_3 started prep for Order 003 (Hole 5)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,order_007,11:02:00,14520,order_placed,,12,,order,007,,,12,,,processed,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runners,11:02,14520,order_received,,,,delivery_runner,007,,,,,,,New order from Group 12 on Hole 12
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:10,15000,prep_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 completed prep for Order 001
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:10,15000,delivery_start,,,,delivery_runner,001,runner_1,,,,,,"runner_1 departing to Hole 2 (1101m, 6.8 min)"
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:10,15000,prep_complete,,,,delivery_runner,002,runner_2,,,,,,runner_2 completed prep for Order 002
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:10,15000,delivery_start,,,,delivery_runner,002,runner_2,,,,,,"runner_2 departing to Hole 1 (532m, 3.3 min)"
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:10,15000,prep_complete,,,,delivery_runner,003,runner_3,,,,,,runner_3 completed prep for Order 003
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:10,15000,delivery_start,,,,delivery_runner,003,runner_3,,,,,,"runner_3 departing to Hole 5 (1605m, 10.0 min)"
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_26,11:12:00,15120,tee_off,,1,,golfer_group,,,,26,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:13,15198,delivery_complete,,,,delivery_runner,002,runner_2,,,,,,runner_2 delivered Order 002 to Hole 1 (Total completion: 13.3 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:13,15200,order_assigned,,,,delivery_runner,004,runner_2,,,,,,Assigned Order 004 to runner_2
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:13,15200,returning,,,,delivery_runner,004,runner_2,,,,,,runner_2 returning to clubhouse from hole_1 (3.3 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:16,15398,arrived_clubhouse,,,,delivery_runner,004,runner_2,,,,,,runner_2 arrived at clubhouse to prepare Order 004
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:16,15398,prep_start,,,,delivery_runner,004,runner_2,,,,,,runner_2 started prep for Order 004 (Hole 7)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:16,15410,delivery_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 delivered Order 001 to Hole 2 (Total completion: 16.8 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:16,15415,order_assigned,,,,delivery_runner,005,runner_1,,,,,,Assigned Order 005 to runner_1
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:16,15415,returning,,,,delivery_runner,005,runner_1,,,,,,runner_1 returning to clubhouse from hole_2 (6.8 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:19,15599,delivery_complete,,,,delivery_runner,003,runner_3,,,,,,runner_3 delivered Order 003 to Hole 5 (Total completion: 20.0 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:20,15600,order_assigned,,,,delivery_runner,006,runner_3,,,,,,Assigned Order 006 to runner_3
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:20,15600,returning,,,,delivery_runner,006,runner_3,,,,,,runner_3 returning to clubhouse from hole_5 (10.0 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:23,15825,arrived_clubhouse,,,,delivery_runner,005,runner_1,,,,,,runner_1 arrived at clubhouse to prepare Order 005
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:23,15825,prep_start,,,,delivery_runner,005,runner_1,,,,,,runner_1 started prep for Order 005 (Hole 9)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_27,11:24:00,15840,tee_off,,1,,golfer_group,,,,27,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:26,15998,prep_complete,,,,delivery_runner,004,runner_2,,,,,,runner_2 completed prep for Order 004
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:26,15998,delivery_start,,,,delivery_runner,004,runner_2,,,,,,"runner_2 departing to Hole 7 (1093m, 6.8 min)"
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:29,16199,arrived_clubhouse,,,,delivery_runner,006,runner_3,,,,,,runner_3 arrived at clubhouse to prepare Order 006
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:29,16199,prep_start,,,,delivery_runner,006,runner_3,,,,,,runner_3 started prep for Order 006 (Hole 8)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:33,16406,delivery_complete,,,,delivery_runner,004,runner_2,,,,,,runner_2 delivered Order 004 to Hole 7 (Total completion: 33.4 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:33,16410,order_assigned,,,,delivery_runner,007,runner_2,,,,,,Assigned Order 007 to runner_2
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:33,16410,returning,,,,delivery_runner,007,runner_2,,,,,,runner_2 returning to clubhouse from hole_7 (6.8 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:33,16425,prep_complete,,,,delivery_runner,005,runner_1,,,,,,runner_1 completed prep for Order 005
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:33,16425,delivery_start,,,,delivery_runner,005,runner_1,,,,,,"runner_1 departing to Hole 9 (140m, 0.9 min)"
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:34,16477,delivery_complete,,,,delivery_runner,005,runner_1,,,,,,runner_1 delivered Order 005 to Hole 9 (Total completion: 34.6 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_28,11:36:00,16560,tee_off,,1,,golfer_group,,,,28,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:39,16799,prep_complete,,,,delivery_runner,006,runner_3,,,,,,runner_3 completed prep for Order 006
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:39,16799,delivery_start,,,,delivery_runner,006,runner_3,,,,,,"runner_3 departing to Hole 8 (623m, 3.9 min)"
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:40,16817,arrived_clubhouse,,,,delivery_runner,007,runner_2,,,,,,runner_2 arrived at clubhouse to prepare Order 007
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:40,16817,prep_start,,,,delivery_runner,007,runner_2,,,,,,runner_2 started prep for Order 007 (Hole 12)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_3,11:43,17031,delivery_complete,,,,delivery_runner,006,runner_3,,,,,,runner_3 delivered Order 006 to Hole 8 (Total completion: 43.9 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_29,11:48:00,17280,tee_off,,1,,golfer_group,,,,29,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,order_008,11:48:00,17280,order_placed,,15,,order,008,,,13,,,processed,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runners,11:48,17280,order_received,,,,delivery_runner,008,,,,,,,New order from Group 13 on Hole 15
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:48,17280,order_assigned,,,,delivery_runner,008,runner_1,,,,,,Assigned Order 008 to runner_1
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:48,17280,returning,,,,delivery_runner,008,runner_1,,,,,,runner_1 returning to clubhouse from hole_9 (0.9 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:48,17332,arrived_clubhouse,,,,delivery_runner,008,runner_1,,,,,,runner_1 arrived at clubhouse to prepare Order 008
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:48,17332,prep_start,,,,delivery_runner,008,runner_1,,,,,,runner_1 started prep for Order 008 (Hole 15)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:50,17417,prep_complete,,,,delivery_runner,007,runner_2,,,,,,runner_2 completed prep for Order 007
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:50,17417,delivery_start,,,,delivery_runner,007,runner_2,,,,,,"runner_2 departing to Hole 12 (1395m, 8.7 min)"
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:58,17932,prep_complete,,,,delivery_runner,008,runner_1,,,,,,runner_1 completed prep for Order 008
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,11:58,17932,delivery_start,,,,delivery_runner,008,runner_1,,,,,,"runner_1 departing to Hole 15 (930m, 5.8 min)"
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_2,11:58,17938,delivery_complete,,,,delivery_runner,007,runner_2,,,,,,runner_2 delivered Order 007 to Hole 12 (Total completion: 57.0 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_30,12:00:00,18000,tee_off,,1,,golfer_group,,,,30,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,12:04,18279,delivery_complete,,,,delivery_runner,008,runner_1,,,,,,runner_1 delivered Order 008 to Hole 15 (Total completion: 16.7 min)
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_31,12:15:00,18900,tee_off,,1,,golfer_group,,,,31,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_32,12:30:00,19800,tee_off,,1,,golfer_group,,,,32,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_33,12:45:00,20700,tee_off,,1,,golfer_group,,,,33,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,golf_group_34,13:00:00,21600,tee_off,,1,,golfer_group,,,,34,,,,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,order_009,13:10:00,22200,order_placed,,16,,order,009,,,20,,,processed,
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runners,13:10,22200,order_received,,,,delivery_runner,009,,,,,,,New order from Group 20 on Hole 16
busy_weekend_delivery_3r_20orders_no_bev_full_run_02,runner_1,13:10,22200,order_assigned,,,,delivery_runner,009,runner_1,,,,,,Assigned Order 009 to runner_1
