order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,8,15
002,10:00,12,2,28,3,8,15
003,10:00,8,3,46,7,15,13
004,10:00,13,4,,,,13
005,10:00,11,5,,,,11
006,10:00,10,6,,,,10
007,10:00,7,7,,,,7
008,10:00,14,8,,,,14
009,10:00,5,9,,,,5
010,10:00,7,10,,,,7
011,10:01,3,10,,,,3
012,10:32,7,10,49,9,18,12
013,10:38,12,10,,,,12
014,10:44,10,11,,,,10
015,10:54,17,12,,,,17
016,11:43,5,2,26,4,16,8
017,12:42,11,1,10,7,15,13
018,12:54,7,1,23,3,14,10
019,13:03,6,2,38,6,16,11
020,13:15,10,2,52,3,8,15
021,13:20,18,3,,,,18
022,13:20,4,4,,,,4
023,13:30,14,5,,,,14
024,13:42,14,5,,,,14
025,14:12,4,5,43,2,14,9
026,14:48,12,1,31,3,7,16
027,14:51,15,2,44,2,3,18
028,15:19,2,2,30,10,18,6
029,15:23,10,3,54,3,7,16
030,16:01,11,2,33,3,8,15
031,16:23,16,2,29,2,3,18
032,16:23,12,3,42,3,7,16
033,17:17,6,1,10,2,14,9
034,18:25,15,1,10,4,7,17
035,18:42,15,1,10,3,7,16
