order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,12,1,10,6,12,14
002,10:00,11,2,32,6,12,14
003,10:00,14,3,54,2,3,18
004,10:00,14,4,,,,14
005,10:00,12,5,,,,12
006,10:00,8,6,,,,8
007,10:00,13,7,,,,13
008,10:33,7,6,44,9,18,12
009,10:47,6,6,58,9,18,12
012,11:27,14,2,46,2,3,18
013,11:31,9,3,55,6,12,14
014,11:32,18,4,,,,18
015,11:47,6,4,,,,6
016,11:48,13,5,,,,13
017,11:51,14,6,,,,14
019,11:56,18,7,,,,18
020,12:14,9,7,54,6,12,14
021,12:19,14,7,,,,14
022,12:30,17,8,,,,17
024,13:10,11,3,30,6,12,14
025,13:12,16,4,50,2,3,18
027,13:17,13,5,58,2,3,18
028,13:41,16,3,48,2,3,18
029,13:43,9,4,59,3,8,15
030,14:11,13,3,49,2,3,18
032,14:54,9,1,19,9,18,12
033,15:02,18,2,39,2,3,18
034,15:09,6,2,46,6,16,11
035,15:18,12,3,,,,12
036,16:18,12,1,13,6,12,14
037,18:31,17,1,10,2,3,18
038,18:43,16,1,11,2,3,18
