order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,13,1,10,3,8,15
003,10:00,14,2,28,4,7,17
004,10:00,7,3,45,9,18,12
006,10:00,9,4,,,,9
011,10:31,15,3,42,2,3,18
014,11:29,9,1,10,6,16,11
015,11:35,18,1,30,2,3,18
016,11:38,18,2,40,2,3,18
017,11:49,17,3,43,2,3,18
018,11:56,8,3,49,7,15,13
019,12:05,16,4,,,,16
022,12:59,6,2,21,2,14,9
023,13:03,7,2,41,9,18,12
024,13:20,16,2,52,2,3,18
025,13:26,14,3,60,2,3,18
027,13:47,9,3,52,6,12,14
029,14:40,7,1,21,3,14,10
030,15:21,8,1,10,3,14,10
031,15:41,18,1,14,2,3,18
032,15:48,9,1,20,9,18,12
035,16:15,17,1,21,2,3,18
036,16:22,18,2,28,2,3,18
038,16:37,17,2,26,2,3,18
040,17:21,18,1,10,2,3,18
042,18:41,18,1,10,2,3,18
043,19:49:00,18,,,,,18
