order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,11,1,10,7,15,13
002,10:00,14,2,35,4,7,17
003,10:00,9,3,52,6,12,14
004,10:00,7,4,,,,7
005,10:00,11,5,,,,11
007,10:00,14,6,,,,14
009,10:19,11,6,55,3,7,16
011,11:24,17,1,10,2,3,18
012,11:25,8,1,22,6,16,11
013,11:26,15,2,48,2,3,18
014,11:27,16,3,60,2,3,18
015,11:41,14,3,59,2,3,18
016,11:46,16,4,,,,16
017,11:50,13,5,,,,13
018,11:56,14,6,,,,14
019,11:57,8,7,,,,8
020,12:01,13,8,,,,13
021,12:16,10,8,58,3,7,16
022,12:18,13,8,,,,13
023,12:25,10,9,,,,10
024,12:26,14,10,,,,14
025,12:35,18,10,,,,18
028,12:53,7,9,57,7,15,13
029,13:25,17,4,50,2,3,18
030,13:52,9,2,37,7,15,13
031,14:05,11,3,49,3,7,16
032,14:31,9,2,39,7,15,13
034,14:46,15,2,49,2,3,18
035,15:22,18,2,26,2,3,18
036,15:28,15,2,34,2,3,18
037,15:38,12,3,37,3,8,15
039,17:03,16,1,10,4,7,17
040,19:02:00,18,,,,,18
041,20:20:00,18,,,,,18
