order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,10,1,10,9,18,12
002,10:00,14,2,38,2,3,18
003,10:00,5,3,51,6,16,11
004,10:00,11,4,,,,11
005,10:00,7,5,,,,7
006,10:25,14,5,52,2,3,18
007,10:30,7,5,,,,7
008,10:47,2,5,54,7,17,7
009,10:53,14,6,,,,14
010,10:55,8,7,,,,8
011,10:55,3,8,,,,3
012,11:12,8,6,56,7,15,13
013,11:15,1,7,,,,1
014,12:09,2,2,23,10,17,5
015,12:18,13,2,42,4,7,17
016,12:21,18,3,56,2,3,18
017,12:45,9,3,45,6,12,14
018,12:50,9,3,,,,9
019,13:38,8,2,24,6,16,11
020,14:04,14,1,24,4,7,17
021,14:23,18,1,22,2,3,18
022,14:30,9,2,28,9,18,12
023,14:37,10,2,49,3,8,15
024,15:03,17,2,41,2,3,18
025,15:33,2,2,24,10,17,5
026,15:53,15,1,32,2,3,18
027,16:31,4,1,10,7,17,7
028,17:00,18,1,10,2,3,18
029,17:00,16,2,23,2,3,18
030,17:27,18,1,10,2,3,18
031,18:23,9,1,10,6,16,11
032,18:24,16,1,35,2,3,18
033,18:41,16,2,,,,16
